|职位|单位|地点|链接
0|周金秋实验室博士后和研究助...|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/777601.htm
1|广州医科大学呼吸疾病国家重...|广州呼吸疾病研究所|广东省广州市|https://www.jobmd.cn/work/819065.htm
2|黄超兰课题组博士后|深圳北京大学香港科技大学医...|广东省深圳市|https://www.jobmd.cn/work/728216.htm
3|分子生物学（博士）|中国科学院上海药物研究所|上海市浦东新区|https://www.jobmd.cn/work/819226.htm
4|研究助理（深圳大学抗衰老与...|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/583814.htm
5|国家心血管病中心 中国医学...|国家心血管病中心 中国医学科...|北京市西城区|https://www.jobmd.cn/work/821219.htm
6|上海三甲医院生物安全部专职...|上海市公共卫生临床中心|上海市金山区|https://www.jobmd.cn/work/818483.htm
7|基础医学（生理学）|江苏大学医学院|镇江市京口区|https://www.jobmd.cn/work/786875.htm
8|博士后|广州市妇女儿童医疗中心|广州市天河区|https://www.jobmd.cn/work/628360.htm
9|汪胜实验室博士后|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/698460.htm
10|博士后|南方医科大学第五附属医院|广州市从化区|https://www.jobmd.cn/work/802066.htm
11|博士后和专职科研人员|中山大学附属第八医院|广东省深圳市|https://www.jobmd.cn/work/802848.htm
12|李劲松实验室副研究员和博士...|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/776373.htm
13|邹卫国实验室副研究员/博士后|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/717432.htm
14|姜海实验室博士后|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/764799.htm
15|南方科技大学医学院刘泉副教...|南方科技大学医学院|深圳市南山区|https://www.jobmd.cn/work/778668.htm
16|赵允实验室博士后/研究助理|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/719173.htm
17|曾安实验室博士后、科研助理|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/802157.htm
18|生物学相关专业博士|上海交通大学医学院附属瑞金...|上海市黄浦区|https://www.jobmd.cn/work/659982.htm
19|博士后-北京天坛医院|国家神经系统疾病临床医学研...|北京市丰台区|https://www.jobmd.cn/work/741498.htm
0|周斌实验室博士后|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/813323.htm
1|有机/药物合成研究员|中国科学院上海药物研究所|上海市浦东新区|https://www.jobmd.cn/work/819225.htm
2|博士后（眼科、泌尿外、普外...|上海市第一人民医院|上海市虹口区|https://www.jobmd.cn/work/782852.htm
3|神经内科博士后|北京大学深圳医院|广东省深圳市|https://www.jobmd.cn/work/791590.htm
4|博士后-国家神经系统疾病中...|国家神经系统疾病临床医学研...|北京市丰台区|https://www.jobmd.cn/work/762281.htm
5|基础医学系|江苏大学医学院|镇江市京口区|https://www.jobmd.cn/work/785857.htm
6|中医内科学博士后|广东省人民医院（省医学科学...|广东省|https://www.jobmd.cn/work/604258.htm
7|博士后科研助理|中国科学院上海药物研究所|上海市浦东新区|https://www.jobmd.cn/work/750880.htm
8|博士后（肿瘤研究中心付利课...|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/552941.htm
9|刘珈泉实验室博士后|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/827147.htm
10|珠海市人民医院博士后招聘|珠海市人民医院（暨南大学附...|珠海市香洲区|https://www.jobmd.cn/work/767563.htm
11|肿瘤分子影像博士后|珠海市人民医院（暨南大学附...|珠海市香洲区|https://www.jobmd.cn/work/767714.htm
12|纳米材料的生物修饰博士后|珠海市人民医院（暨南大学附...|珠海市香洲区|https://www.jobmd.cn/work/767716.htm
13|张雷实验室副研究员和博士后|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/823991.htm
14|博士后|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/573529.htm
15|博士后（深圳大学医学部主任...|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/575112.htm
16|博士后（深圳大学医学部肿瘤...|深圳大学医学部|广东省深圳市|https://www.jobmd.cn/work/575882.htm
17|入站博士后|深圳市龙华区中心医院|广东省深圳市|https://www.jobmd.cn/work/748410.htm
18|基础医学（病理生理学）|江苏大学医学院|镇江市京口区|https://www.jobmd.cn/work/786874.htm
0|博士研究生-重庆市合川区中...|重庆市卫生人才交流中心|重庆市合川区|https://www.jobmd.cn/work/819341.htm
1|汕头大学医学院附属肿瘤医院...|汕头大学医学院附属肿瘤医院|广东省汕头市|https://www.jobmd.cn/work/815732.htm
2|血液病学科（博士后）|深圳市第二人民医院博士后工...|深圳市福田区|https://www.jobmd.cn/work/677727.htm
3|化学合成研发人员|中国科学院上海药物研究所|上海市浦东新区|https://www.jobmd.cn/work/811861.htm
4|医科院博士后--大分子药物设...|中国医学科学院阜外医院 心血...|北京市门头沟区|https://www.jobmd.cn/work/715076.htm
5|心血管生理、病理、药理博士...|中国医学科学院阜外医院 心血...|北京市门头沟区|https://www.jobmd.cn/work/715106.htm
6|生物信息学博士后/副研究员/...|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/714821.htm
7|季红斌实验室博士后|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/728467.htm
8|惠利健实验室生物信息学博士...|中国科学院生物化学与细胞生...|上海市|https://www.jobmd.cn/work/724810.htm
9|曾艺研究组博士后、助理研究...|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/641405.htm
10|孙丽明研究组招聘博士后、技...|中国科学院生物化学与细胞生...|上海市徐汇区|https://www.jobmd.cn/work/439840.htm
11|抗体制备博士后|中国医学科学院阜外医院 心血...|北京市|https://www.jobmd.cn/work/763419.htm
12|心血管博士后|上海交通大学医学院附属瑞金...|上海市黄浦区|https://www.jobmd.cn/work/803219.htm
13|博士后（肿瘤科）|解放军第900医院（原南京军区...|福建省|https://www.jobmd.cn/work/556473.htm
