__ID__,酒精,硫酸盐,PH,密度,总二氧化硫,游离二氧化硫,氯化物,残糖,柠檬酸,挥发性酸度,固定酸度
0,9.4,0.56,3.51,0.9978,34.0,11.0,0.076,1.9,0.0,0.7,7.4
1,9.8,0.68,3.2,0.9968,67.0,25.0,0.098,2.6,0.0,0.88,7.8
2,9.8,0.65,3.26,0.997,54.0,15.0,0.092,2.3,0.04,0.76,7.8
3,9.8,0.58,3.16,0.998,60.0,17.0,0.075,1.9,0.56,0.28,11.2
4,9.4,0.56,3.51,0.9978,34.0,11.0,0.076,1.9,0.0,0.7,7.4
5,9.4,0.56,3.51,0.9978,40.0,13.0,0.075,1.8,0.0,0.66,7.4
6,9.4,0.46,3.3,0.9964,59.0,15.0,0.069,1.6,0.06,0.6,7.9
7,10.0,0.47,3.39,0.9946,21.0,15.0,0.065,1.2,0.0,0.65,7.3
8,9.5,0.57,3.36,0.9968,18.0,9.0,0.073,2.0,0.02,0.58,7.8
9,10.5,0.8,3.35,0.9978,102.0,17.0,0.071,6.1,0.36,0.5,7.5
10,9.2,0.54,3.28,0.9959,65.0,15.0,0.09699999999999999,1.8,0.08,0.58,6.7
11,10.5,0.8,3.35,0.9978,102.0,17.0,0.071,6.1,0.36,0.5,7.5
12,9.9,0.52,3.58,0.9943,59.0,16.0,0.08900000000000001,1.6,0.0,0.615,5.6
13,9.1,1.56,3.26,0.9974,29.0,9.0,0.114,1.6,0.29,0.61,7.8
14,9.2,0.88,3.16,0.9986,145.0,52.0,0.17600000000000002,3.8,0.18,0.62,8.9
15,9.2,0.93,3.17,0.9986,148.0,51.0,0.17,3.9,0.19,0.62,8.9
16,10.5,0.75,3.3,0.9969,103.0,35.0,0.092,1.8,0.56,0.28,8.5
17,9.3,1.28,3.11,0.9968,56.0,16.0,0.368,1.7,0.28,0.56,8.1
18,9.0,0.5,3.38,0.9974,29.0,6.0,0.086,4.4,0.08,0.59,7.4
19,9.2,1.08,3.04,0.9969,56.0,17.0,0.341,1.8,0.51,0.32,7.9
20,9.4,0.53,3.39,0.9968,60.0,29.0,0.077,1.8,0.48,0.22,8.9
21,9.7,0.65,3.52,0.9982,71.0,23.0,0.08199999999999999,2.3,0.31,0.39,7.6
22,9.5,0.91,3.17,0.9966,37.0,10.0,0.106,1.6,0.21,0.43,7.9
23,9.4,0.53,3.17,0.9968,67.0,9.0,0.084,2.3,0.11,0.49,8.5
24,9.7,0.63,3.43,0.9968,40.0,21.0,0.085,2.4,0.14,0.4,6.9
25,9.3,0.56,3.34,0.9955,23.0,11.0,0.08,1.4,0.16,0.39,6.3
26,9.5,0.59,3.28,0.9962,11.0,4.0,0.08,1.8,0.24,0.41,7.6
27,9.5,0.91,3.17,0.9966,37.0,10.0,0.106,1.6,0.21,0.43,7.9
28,9.4,0.55,3.47,0.9972,35.0,14.0,0.08,1.9,0.0,0.71,7.1
29,9.8,0.59,3.38,0.9964,16.0,8.0,0.08199999999999999,2.0,0.0,0.645,7.8
30,10.1,0.54,3.35,0.9958,82.0,17.0,0.08900000000000001,2.4,0.07,0.675,6.7
31,10.6,0.57,3.46,0.9966,37.0,22.0,0.105,2.5,0.0,0.685,6.9
32,9.8,0.66,3.17,0.9966,113.0,15.0,0.083,2.3,0.12,0.655,8.3
33,9.4,0.52,3.45,0.9993,83.0,40.0,0.073,10.7,0.12,0.605,6.9
34,9.2,0.55,3.38,0.9957,50.0,13.0,0.10300000000000001,1.8,0.25,0.32,5.2
35,9.6,0.55,3.4,0.9986,18.0,5.0,0.086,5.5,0.0,0.645,7.8
36,10.8,0.6,3.42,0.9975,15.0,3.0,0.086,2.4,0.14,0.6,7.8
37,9.7,0.73,3.23,0.9968,30.0,13.0,0.066,2.1,0.28,0.38,8.1
38,9.8,0.48,3.5,0.9940000000000001,19.0,7.0,0.172,1.5,0.09,1.13,5.7
39,10.5,0.83,3.33,0.9978,87.0,12.0,0.07400000000000001,5.9,0.36,0.45,7.3
40,10.5,0.83,3.33,0.9978,87.0,12.0,0.07400000000000001,5.9,0.36,0.45,7.3
41,9.3,0.51,3.26,0.9976,46.0,17.0,0.08800000000000001,2.8,0.3,0.61,8.8
42,10.5,0.9,3.21,0.9968,14.0,8.0,0.332,2.6,0.2,0.49,7.5
43,10.3,1.2,3.3,0.9968,23.0,9.0,0.069,2.2,0.22,0.66,8.1
44,9.5,0.52,3.48,0.9962,11.0,5.0,0.05,1.8,0.02,0.67,6.8
45,13.1,0.56,3.9,0.9934,65.0,8.0,0.054000000000000006,2.1,0.15,0.52,4.6
46,9.2,0.73,3.25,0.997,114.0,22.0,0.114,2.2,0.43,0.935,7.7
47,9.5,0.58,3.25,0.9969,37.0,12.0,0.113,1.6,0.52,0.29,8.7
48,9.2,0.56,3.34,0.9958,12.0,5.0,0.066,1.6,0.23,0.4,6.4
49,9.2,0.58,3.32,0.9954,96.0,12.0,0.07400000000000001,1.4,0.37,0.31,5.6
50,9.2,0.74,3.15,0.9971,23.0,4.0,0.07400000000000001,1.7,0.26,0.66,8.8
51,9.4,0.63,3.4,0.9956,15.0,8.0,0.069,2.2,0.04,0.52,6.6
52,9.4,0.64,3.39,0.9955,14.0,6.0,0.068,2.1,0.04,0.5,6.6
53,9.4,0.56,3.2,0.997,119.0,30.0,0.081,3.0,0.36,0.38,8.6
54,10.2,0.63,3.17,0.9955,73.0,33.0,0.11,2.8,0.15,0.51,7.6
55,9.5,0.53,3.34,0.9978,45.0,25.0,0.084,3.8,0.04,0.62,7.7
56,9.6,0.63,3.04,0.9971,10.0,4.0,0.07,3.4,0.57,0.42,10.2
57,9.4,0.77,3.26,0.9983,110.0,50.0,0.111,5.1,0.12,0.63,7.5
58,10.0,0.59,3.43,0.9975,54.0,17.0,0.076,2.3,0.18,0.59,7.8
59,9.4,0.54,3.41,0.9962,46.0,9.0,0.07400000000000001,2.4,0.31,0.39,7.3
60,9.2,0.64,3.44,0.998,52.0,19.0,0.079,2.2,0.4,0.4,8.8
61,9.3,0.71,3.21,0.9968,112.0,20.0,0.115,1.8,0.49,0.69,7.7
62,9.5,0.62,3.38,0.9968,35.0,12.0,0.085,1.9,0.16,0.52,7.5
63,9.8,0.57,3.39,0.9966,54.0,13.0,0.081,2.0,0.05,0.735,7.0
